Date,Close,High,Low,Open,Volume
2025-09-15,388.6000061035156,392.0,382.2999877929688,383.4500122070313,317601
2025-09-16,377.3500061035156,383.2999877929688,377.1000061035156,380.0,380179
2025-09-17,377.1499938964844,379.2999877929688,374.3500061035156,378.6000061035156,432787
2025-09-18,378.2000122070313,380.0,376.25,378.0,267582
2025-09-19,369.6499938964844,379.2999877929688,369.0499877929688,376.0499877929688,1226423
2025-09-22,362.0,371.75,360.25,371.6000061035156,410872
2025-09-23,374.7000122070313,378.1000061035156,362.5,363.8999938964844,468190
2025-09-24,367.1000061035156,373.5499877929688,366.9500122070313,373.4500122070313,481060
2025-09-25,366.1000061035156,369.6499938964844,364.8500061035156,366.1000061035156,272436
2025-09-26,366.8999938964844,368.5,364.75,367.8500061035156,355739
2025-09-29,365.0499877929688,370.75,365.0499877929688,368.75,329222
2025-09-30,368.5,368.5,360.25,364.5499877929688,386754
2025-10-01,366.3500061035156,369.3500061035156,365.6000061035156,367.7999877929688,258316
2025-10-02,374.2000122070313,374.4500122070313,367.7999877929688,368.25,295959
2025-10-03,376.5499877929688,378.1000061035156,373.0,375.8999938964844,303450
2025-10-06,374.0,376.8999938964844,370.5499877929688,374.9500122070313,298024
2025-10-07,379.25,379.8500061035156,371.2999877929688,374.6000061035156,234520
2025-10-08,383.1000061035156,385.2999877929688,378.5,379.5,297120
2025-10-09,376.1499938964844,382.4500122070313,376.1499938964844,379.5499877929688,275238
2025-10-10,369.6499938964844,379.2999877929688,368.75,378.8500061035156,307053
2025-10-13,370.0,374.2999877929688,368.6000061035156,373.3999938964844,248560
2025-10-14,368.5,372.1000061035156,367.8999938964844,370.75,215122
